Day,Month,Year,Location,Plot,Station,Genus,Species,Identification,TotalSeeds,Flag,Notes
13,6,1975,SNM_East,6,,Perognathus,amplus,LF1,50,0,
15,6,1975,SNM_East,6,,Perognathus,amplus,LF1,180,0,
28,6,1975,SNM_West,7,4,Perognathus,amplus,LF2,1,0,
6,7,1975,SNM_East,1,5,Perognathus,amplus,RF4,1,0,
18,7,1975,SNM_East,7,5,Perognathus,amplus,RF3,107,0,
31,7,1975,SNM_East,1,5,Perognathus,amplus,RF4,2,0,
4,8,1975,SNM_East,7,4,Perognathus,amplus,RF2,1,0,
5,8,1975,SNM_East,7,4,Perognathus,amplus,LF3,71,0,
14,8,1975,SNM_East,7,5,Perognathus,amplus,RF3,19,0,
28,6,1975,SNM_West,2,9,Dipodomys,merriami,LF3,81,0,
6,7,1975,SNM_East,1,2,Dipodomys,merriami,LF3,4,0,
6,7,1975,SNM_East,7,6,Dipodomys,merriami,LF2,4,0,
20,7,1975,SNM_East,6,2,Dipodomys,merriami,LF3,6,0,
20,7,1975,SNM_East,6,1,Dipodomys,merriami,LF2,1,0,
22,7,1975,SNM_East,6,1,Dipodomys,merriami,LF2,3,0,
22,7,1975,SNM_East,6,5,Dipodomys,merriami,RF4,28,0,
24,7,1975,SNM_East,5,8,Dipodomys,merriami,LF2,9,0,
30,7,1975,SNM_East,5,6,Dipodomys,merriami,RF4,1,0,
31,7,1975,SNM_East,5,2,Dipodomys,merriami,RF4,10,0,
4,8,1975,SNM_East,6,3,Dipodomys,merriami,LF2,11,0,
4,8,1975,SNM_East,6,4,Dipodomys,merriami,RF4,4,0,
5,8,1975,SNM_East,6,4,Dipodomys,merriami,RF4,7,0,
4,7,1975,SNM_East,1,3,Perognathus,baileyi,LF1,1,0,
6,7,1975,SNM_East,2,6,Perognathus,baileyi,LF3,4,0,
18,7,1975,SNM_East,7,1,Perognathus,baileyi,LF2,3,0,
18,7,1975,SNM_East,2,6,Perognathus,baileyi,,6,0,
18,7,1975,SNM_East,5,4,Perognathus,baileyi,RF3,54,0,
18,7,1975,SNM_East,7,7,Perognathus,baileyi,,1,0,
18,7,1975,SNM_East,4,8,Perognathus,baileyi,LF4,8,0,
20,7,1975,SNM_East,7,5,Perognathus,baileyi,RF3,1,0,
20,7,1975,SNM_East,5,4,Perognathus,baileyi,RF3,4,0,
20,7,1975,SNM_East,4,7,Perognathus,baileyi,RF1,24,0,
20,7,1975,SNM_East,1,2,Perognathus,baileyi,RF2,2,0,
20,7,1975,SNM_East,2,2,Perognathus,baileyi,LF1,7,0,
20,7,1975,SNM_East,2,6,Perognathus,baileyi,RF4,34,0,
22,7,1975,SNM_East,7,1,Perognathus,baileyi,LF2,1,0,
23,7,1975,SNM_East,7,2,Perognathus,baileyi,LF3,7,0,
23,7,1975,SNM_East,5,2,Perognathus,baileyi,LF1,4,0,
24,7,1975,SNM_East,2,3,Perognathus,baileyi,LF1,1,0,
24,7,1975,SNM_East,1,8,Perognathus,baileyi,LF4,12,0,
29,7,1975,SNM_East,4,1,Perognathus,baileyi,RF2,11,0,
28,7,1975,SNM_East,4,3,Perognathus,baileyi,RF4,2,0,
29,7,1975,SNM_East,1,7,Perognathus,baileyi,RR1,22,0,
29,7,1975,SNM_East,5,5,Perognathus,baileyi,RF4,3,0,
30,7,1975,SNM_East,2,1,Perognathus,baileyi,RF1,6,0,
30,7,1975,SNM_East,4,5,Perognathus,baileyi,RF2,3,0,
30,7,1975,SNM_East,4,2,Perognathus,baileyi,LF4,3,0,
31,7,1975,SNM_East,3,1,Perognathus,baileyi,LF2,3,0,
31,7,1975,SNM_East,5,4,Perognathus,baileyi,,3,0,
5,8,1975,SNM_East,7,2,Perognathus,baileyi,LF1,1,0,
5,8,1975,SNM_East,7,3,Perognathus,baileyi,RF34,2,0,
5,8,1975,SNM_East,7,7,Perognathus,baileyi,RR1,7,0,
5,8,1975,SNM_East,5,9,Perognathus,baileyi,RF1,2,0,
14,8,1975,SNM_East,7,2,Perognathus,baileyi,,4,0,
13,6,1975,SNM_East,6,,Perognathus,penicillatus,LF2,9,0,
15,6,1975,SNM_East,6,,Perognathus,penicillatus,LF4,43,0,
28,6,1975,SNM_West,2,1,Perognathus,penicillatus,RF1,1,0,
28,6,1975,SNM_West,2,6,Perognathus,penicillatus,LF2,1,0,
28,6,1975,SNM_West,6,,Perognathus,penicillatus,LF3,50,1,"approximately 50 husked saguaro seeds, no measurements could be taken"
29,6,1975,SNM_West,6,6,Perognathus,penicillatus,RF2,2,0,
29,6,1975,SNM_West,2,7,Perognathus,penicillatus,LF2,1,0,
29,6,1975,SNM_West,2,7,Perognathus,penicillatus,RF3,2,0,
30,6,1975,SNM_West,2,1,Perognathus,penicillatus,RF2,2,0,
30,6,1975,SNM_West,2,7,Perognathus,penicillatus,LR1,9,0,
30,6,1975,SNM_West,2,9,Perognathus,penicillatus,RR1,3,0,
30,6,1975,SNM_West,4,9,Perognathus,penicillatus,LF1,2,0,
30,6,1975,SNM_West,4,5,Perognathus,penicillatus,,2,0,
1,7,1975,SNM_East,6,9,Perognathus,penicillatus,LF12,1,0,
4,7,1975,SNM_East,3,8,Perognathus,penicillatus,RF2,1,0,
6,7,1975,SNM_East,5,5,Perognathus,penicillatus,LF1,10,0,
